,player_1_name,player_1_species,player_1_build_order_names,player_1_winner_status,player_1_league,player_2_name,player_2_species,player_2_build_order_names,player_2_winner_status,player_2_league,map,played_on_date_and_time,game_length,tournament_name
4250,ByuN ,Terran,,1,,MaxPax ,Protoss,"1 Gate Expand, Proxy Void Ray",0,,Map: Blackburn LE,2021-10-23 14:06:00,0 days 00:09:18,Event: StayAtHome Story Cup #4
4251,ByuN ,Terran,,0,,MaxPax ,Protoss,Phoenix Opening,1,,Map: [TLMC15] Berlingrad,2021-10-23 13:55:00,0 days 00:12:30,Event: StayAtHome Story Cup #4
4252,Lambo ,Zerg,"Hatch First, Zergling Baneling",1,,Solar ,Zerg,Hatch First,0,,Map: [TLMC15] Hardwire,2021-10-23 13:06:00,0 days 00:10:02,Event: StayAtHome Story Cup #4
4253,Lambo ,Zerg,Pool Only,0,,Solar ,Zerg,Hatch First,1,,Map: [TLMC14] Blackburn,2021-10-23 13:11:00,0 days 00:03:00,Event: StayAtHome Story Cup #4
4254,Lambo ,Zerg,Hatch First,1,,Solar ,Zerg,Hatch First,0,,Map: 2000 Atmospheres LE,2021-10-23 12:32:00,0 days 00:07:21,Event: StayAtHome Story Cup #4
4255,DRG ,Zerg,Hatch First,0,,MaxPax ,Protoss,"1 Gate Expand, Oracle Opening, Carriers",1,,Map: [TLMC15] Glittering Ashes,2021-10-23 10:12:00,0 days 00:14:23,Event: StayAtHome Story Cup #4
4256,Solar ,Zerg,Hatch First,0,,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening",1,,Map: [TLMC15] Glittering Ashes,2021-10-23 07:51:00,0 days 00:10:16,Event: StayAtHome Story Cup #4
4257,MaxPax ,Protoss,"1 Gate Expand, Blink Stalkers",0,,ByuN ,Terran,,1,,Map: 2000 Atmospheres LE,2021-10-23 14:18:00,0 days 00:09:52,Event: StayAtHome Story Cup #4
4258,Lambo ,Zerg,Hatch First,0,,Solar ,Zerg,Hatch First,1,,Map: [TLMC15] Berlingrad,2021-10-23 12:43:00,0 days 00:08:35,Event: StayAtHome Story Cup #4
4259,Solar ,Zerg,Hatch First,1,,Lambo ,Zerg,Hatch First,0,,Map: [TLMC15] Glittering Ashes,2021-10-23 12:52:00,0 days 00:07:14,Event: StayAtHome Story Cup #4
4260,DPGrogue ,Zerg,Hatch First,0,,LiquidClem ,Terran,,1,,Map: [TLMC15] Curious Minds,2021-10-22 10:12:00,0 days 00:12:03,Event: StayAtHome Story Cup #4
4261,MaxPax ,Protoss,"1 Gate Expand, Mass Adepts",0,,DRG ,Zerg,Hatch First,1,,Map: [TLMC15] Curious Minds,2021-10-23 09:56:00,0 days 00:15:17,Event: StayAtHome Story Cup #4
4262,LiquidClem ,Terran,,1,,DPGrogue ,Zerg,Hatch First,0,,Map: [TLMC15] Hardwire,2021-10-22 10:23:00,0 days 00:08:56,Event: StayAtHome Story Cup #4
4263,MaxPax ,Protoss,"1 Gate Expand, Oracle Opening",0,,DRG ,Zerg,Hatch First,1,,Map: 2000 Atmospheres LE,2021-10-23 10:25:00,0 days 00:10:25,Event: StayAtHome Story Cup #4
4264,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening",1,,Solar ,Zerg,Hatch First,0,,Map: [TLMC15] Berlingrad,2021-10-23 07:22:00,0 days 00:08:50,Event: StayAtHome Story Cup #4
4265,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening, Carriers",1,,Solar ,Zerg,Hatch First,0,,Map: [TLMC15] Curious Minds,2021-10-23 07:38:00,0 days 00:14:22,Event: StayAtHome Story Cup #4
4266,MaxPax ,Protoss,"1 Gate Expand, Oracle Opening",0,,DRG ,Zerg,Hatch First,1,,Map: [TLMC14] Blackburn,2021-10-23 10:49:00,0 days 00:19:50,Event: StayAtHome Story Cup #4
4267,DPGrogue ,Zerg,Hatch First,1,,LiquidClem ,Terran,Reaper Expand,0,,Map: 2000 Atmospheres LE,2021-10-22 09:55:00,0 days 00:17:27,Event: StayAtHome Story Cup #4
4268,DPGrogue ,Zerg,Hatch First,0,,LiquidClem ,Terran,"Gas First Reaper Expand, Hellion Opening",1,,Map: Blackburn LE,2021-10-22 10:36:00,0 days 00:09:02,Event: StayAtHome Story Cup #4
4269,DPGZest ,Protoss,"1 Gate Expand, Colossus Rush",0,,ByuN ,Terran,,1,,Map: [TLMC15] Hardwire,2021-10-24 09:51:00,0 days 00:11:53,Event: StayAtHome Story Cup #4
4270,ByuN ,Terran,1/1/1,1,,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers",0,,Map: [TLMC15] Berlingrad,2021-10-24 09:38:00,0 days 00:18:44,Event: StayAtHome Story Cup #4
4271,Serral ,Zerg,Hatch First,1,,ByuN ,Terran,,0,,Map: [TLMC15] Pride of Altaris,2021-10-23 09:20:00,0 days 00:12:44,Event: StayAtHome Story Cup #4
4272,ByuN ,Terran,,1,,DPGZest ,Protoss,"1 Gate Expand, Blink Stalkers, Carriers, Colossus Rush",0,,Map: 2000 Atmospheres LE,2021-10-24 10:12:00,0 days 00:18:54,Event: StayAtHome Story Cup #4
4273,LiquidClem ,Terran,,1,,Lambo ,Zerg,Hatch First,0,,Map: [TLMC15] Hardwire,2021-10-23 11:48:00,0 days 00:05:02,Event: StayAtHome Story Cup #4
4274,LiquidClem ,Terran,"Reaper Expand, Hellion Banshee",0,,Lambo ,Zerg,"Hatch First, Lurkers",1,,Map: [TLMC15] Glittering Ashes,2021-10-23 11:29:00,0 days 00:14:00,Event: StayAtHome Story Cup #4
